,Donor_Id,P_year,Frequency
0,b'0001767',1,1.0
0,b'0001773',2827,188.0
0,b'0001780',1,1.0
0,b'0001783',21,2.0
0,b'0001786',118,11.0
0,b'0001791',1,1.0
0,b'0001792',158,11.0
0,b'0001795',157,10.0
0,b'0001800',157,10.0
0,b'0001812',155,10.0
0,b'0001813',3,3.0
0,b'0001818',160,11.0
0,b'0001820',5,1.0
0,b'0001822',1,1.0
0,b'0001823',1,1.0
0,b'0001825',1,1.0
0,b'0001826',59,4.0
0,b'0001829',55,4.0
0,b'0001844',9,2.0
0,b'0001845',156,10.0
0,b'0001850',77,6.0
0,b'0001853',1,1.0
0,b'0001856',263,19.0
0,b'0001859',1,1.0
0,b'0001864',2,2.0
0,b'0001883',158,11.0
0,b'0001887',114,14.0
0,b'0001891',154,10.0
0,b'0001902',30,2.0
0,b'0001903',84,9.0
0,b'0001907',1,1.0
0,b'0001914',38,6.0
0,b'0001915',1,1.0
0,b'0001917',36,3.0
0,b'0001919',1,1.0
0,b'0001922',1,1.0
0,b'0001924',1,1.0
0,b'0001936',1,1.0
0,b'0001940',155,10.0
0,b'0001943',55,4.0
0,b'0001951',64,5.0
0,b'0001964',474,32.0
0,b'0001965',73,5.0
0,b'0001974',72,5.0
0,b'0001983',158,11.0
0,b'0001987',1,1.0
0,b'0001990',161,11.0
0,b'0002001',83,10.0
0,b'0002002',1,1.0
0,b'0002004',1,1.0
0,b'0002007',2,1.0
0,b'0002008',60,4.0
0,b'0002010',58,4.0
0,b'0002024',3,3.0
0,b'0002028',60,4.0
0,b'0002033',158,11.0
0,b'0002034',1,1.0
0,b'0002037',2,2.0
0,b'0002049',18,3.0
0,b'0002059',24,2.0
0,b'0002072',2,2.0
0,b'0002078',155,10.0
0,b'0002085',37,3.0
0,b'0002089',23,2.0
0,b'0002094',16,2.0
0,b'0002096',37,3.0
0,b'0002103',95,11.0
0,b'0002118',166,11.0
0,b'0002122',28,3.0
0,b'0002123',56,4.0
0,b'0002125',1,1.0
0,b'0002126',157,10.0
0,b'0002134',44,4.0
0,b'0002138',147,10.0
0,b'0002139',3,2.0
0,b'0002141',36,3.0
0,b'0002147',44,3.0
0,b'0002149',20,2.0
0,b'0002161',74,9.0
0,b'0002163',2,2.0
0,b'0002167',57,4.0
0,b'0002180',2,2.0
0,b'0002184',1,1.0
0,b'0002199',157,10.0
0,b'0002212',26,2.0
0,b'0002217',1,1.0
0,b'0002230',18,1.0
0,b'0002236',1,1.0
0,b'0002248',173,12.0
0,b'0002260',1,1.0
0,b'0002267',156,10.0
0,b'0002274',163,11.0
0,b'0002283',82,9.0
0,b'0002284',4,4.0
0,b'0002288',157,10.0
0,b'0002290',1,1.0
0,b'0002292',1,1.0
0,b'0002296',2,2.0
0,b'0002298',11,6.0
0,b'0002299',156,10.0
0,b'0002302',1,1.0
0,b'0002305',158,11.0
0,b'0002311',57,4.0
0,b'0002314',58,4.0
0,b'0002320',1,1.0
0,b'0002324',35,2.0
0,b'0002328',157,10.0
0,b'0002331',159,11.0
0,b'0002333',90,10.0
0,b'0002340',155,10.0
0,b'0002345',58,4.0
0,b'0002346',73,5.0
0,b'0002348',1,1.0
0,b'0002349',1,1.0
0,b'0002351',154,10.0
0,b'0002355',154,10.0
0,b'0002358',74,5.0
0,b'0002361',56,4.0
0,b'0002366',1,1.0
0,b'0002370',17,6.0
0,b'0002373',90,8.0
0,b'0002379',5,2.0
0,b'0002387',67,5.0
0,b'0002388',2,2.0
0,b'0002390',76,5.0
0,b'0002391',1,1.0
0,b'0002399',98,7.0
0,b'0002400',5,2.0
0,b'0002410',12,6.0
0,b'0002415',1,1.0
0,b'0002421',126,10.0
0,b'0002425',1,1.0
0,b'0002426',28,5.0
0,b'0002433',1,1.0
0,b'0002457',1,1.0
0,b'0002459',186,12.0
0,b'0002460',3,3.0
0,b'0002465',159,11.0
